,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",,Google News,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",https://news.google.com/rss/articles/CBMinAJBVV95cUxPTXFGUk9EUnRJVXhMRkdFdUtvZ1ZGOVhPRloyaTg1dGFlWjlmSmtETEJhTXg4NUN3Y2tsbnFXVWtvTWQySmhPZm5PR2owRUs0MUljR2Rpd3NkQkhIeHdTbXEwVmpuNWRNVWZiODY0dTc0VlVaZ204R1NsSTVLYjNPbVlvcThCR3prNjVIUWFaNmJOY2tGeHo3V3ptTXNYNkdjRldxazdVRXI5SmdtYUNXVTZCdkhnNHFLMWwydFdVNnA0WVJnVDJkeHpKamR2cFFGQWk3WFdqSUlGVGJnLWp3alR0WU1PMDZncHNsNE5XNXpKaDhXVWJsUnR2cXZiX2g1RzhOT2pfd0ZKbE1kUlVKbjVMRGU3QmFteHF6WA,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300-rw,2025-01-21T01:18:13+00:00,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
1,"{'id': 'les-echos', 'name': 'Les Echos'}",Les Echos,VIDEO - Les mesures choc de Donald Trump pour « restaurer » l'Amérique,"A peine investi, Donald Trump a promis une série de décrets historiques pour entamer « la restauration complète de l'Amérique », lors de son discours inaugural.",https://www.lesechos.fr/monde/etats-unis/video-les-mesures-choc-de-donald-trump-pour-restaurer-lamerique-2143666,https://media.lesechos.com/api/v1/images/view/678ebd712353ad5e4804d6fa/1280x720/014037562936-web-tete.jpg,2025-01-20T21:17:32Z,"Le ton est offensif et les annonces à la hauteur du choc promis. Dans son discours inaugural, Donald Trump, le 47e président des Etats-Unis, a affirmé que le début de son mandat marquait le retour d'… [+696 chars]"
2,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",,Google News,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",https://news.google.com/rss/articles/CBMimgJBVV95cUxOX0VDd202VlBWUkV5bmF0QjdyZHZJNnJIbk0xMmRHbkhKQ3pmRDJ2WmJmRGs1dFlZa3BPSW9WNVlCU3ZYYmZveVNRSW9kM2hiN29WNUFHZFlvV2NrRDNOUVF3eEJ0angzWElMcUV1bmtFVTNsTVlkXzZVY3FxTHpOUzVoZEtkcWlTUXdnQ3l6YnZhSTlITmh6ZjNMWjlFMmNkR2dQWDk0WkxGTXRHTFBvQ2dZSzM1VmVjTy16MkEtUUprdXdoVi1YUWdpbE9WVlg1T0RQaC1TUUt0cHVWZ3VjYW9uUjUyMi1aREpVc005ZE11OGVZR1VSQ2lmR21raDZIdU9FX0lRRnFVZ0pqajdWSEtzOWhBQWdEYXc,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300-rw,2025-01-20T21:17:01+00:00,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
3,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",,Google News,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",https://news.google.com/rss/articles/CBMihwJBVV95cUxNNFlnY3YzYUtoSzh0MFhZNTVES2l2b255MFBTS0M1NjV4N2p0ZzNQYVB6bHNNLUdTN0ZYRkZYMGpBaUlYb3BYMVdxN0pHZ2I4SDMzbTVrS0YtZkhsUkFST1ZqSTR3X1BsZjVIT3Q0cnBFNHk5RDhBck0tYmZMWVFzNjhVU0t1RG5hMmJNM2pHQXdLcXp2UWJMQm1MZmx6YWx3dTl1eTRmbGQ4bXV1SndNbkRpY3Itdjc0eEJnS1gzUmtEU3NhVjVyUVU0RkhuUW94NUxxLWdGRG1aV0J1S2c0VXFiWU9QTzh3Z2JPbWxrV1c1QVJtMGZXVmN2OV9jSVpCbFpkSktVQQ,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300-rw,2025-01-20T21:00:00+00:00,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
4,"{'id': 'le-monde', 'name': 'Le Monde'}",Juliette Garnier,Bernard Arnault aux premières loges de l’investiture de Donald Trump,"Avec sa femme et de deux de ses enfants, l’homme d’affaires français a été invité par le 47ᵉ président américain sous la coupole du Capitole.",https://www.lemonde.fr/economie/article/2025/01/20/bernard-arnault-aux-premieres-loges-de-l-investiture-de-donald-trump_6507542_3234.html,https://img.lemde.fr/2025/01/20/0/137/1849/1233/1440/960/60/0/c66d0d5_sirius-fs-upload-1-7nfrs8ch33ak-1737405499945-805298.jpg,2025-01-20T20:47:33Z,"Lors de linvestiture de Donald Trump au Capitole, à Washington, le 20 janvier 2025. Bernard Arnault se trouve tout à droite, près de la statue dAbraham Lincoln et non loin des anciens présidents amér… [+1377 chars]"
5,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",,Google News,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOcUhETF8wbjBrcHJ6cUJCNWVzMG8xWGlUeXZnOUhVTHQ3X2ZxUDBXNmpTZVhZTFJNTDhVN0c0NVQya0NodEN4aHRDdlV0eEFvcUh4Yl9KY0dreGhhYWV1dFZNb2VTQWVCTEhKVUJpTV96aWQ5bjhUS0NTODV0VE1jVm0xa0h5U05vbFd1LVlmVEs4TkNuQjRkdkFhQXRkZFQzQ1NLTEM0cDI0Rzk2djFpSzBHblU1bjVLSDBlclk0VXhQZUVxVXRIUXlqb3dBem5XQTgzRkpGdEdScjDSAeABQVVfeXFMUGtYTF9OUG9oMVNRSXhLS2U2ZXRwSWZTMW5uY0ZHcEZpUTB6R3F4RG4zeGo5dWd6aVl3OTVmbENfbHhmaExiWGJOcWFTRkFYRUdtLWpla000OXlXd3gyZUt5ZFRUQmpWemFKQ1dqMUxWZE5GUmlMbE55cHhkY2ZERTJoRjFWSl9pak1qTUR3N2RLYTBiR0lOT29mb1UwWVFzeEk2U3AyeGZYalZvVVA1emVnekMwaVVIcWR6dnpMQUpycGZ6WG5ZREVPODVJWW9fTXZ2ZF82ZmhZZlF3YmZrS2k,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300-rw,2025-01-20T20:17:12+00:00,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
6,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",,Google News,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",https://news.google.com/rss/articles/CBMi5AJBVV95cUxOVG53TWVUTDVZN2VXMGNpLTR0SXBIUGdvU083MnZJOWVHZ3ZVWlRsV2U0QmZ0UDVTenZ1VHFGTk1OR3ZGbXQ2c1NkalBuX0p1cUxadkl4SHprclhldG5TdG41T0FFZ2p2aTItR3A0QUNNaEhtNHQzbXJrbDFDVXJYSWZFdmpSVDdndVVCcWs4Vmw4UGNCTFZJM3FHWUExUUJ2NGY4YlJqLTlSZDJzRmpMdEpSSzhLZ2V4SVdEUzduQW1QYXI0NV94UEhaMTFOWjdZdnVPUS1XNWtta0Z6eTVVbGF4alZsNlIyRENfS2p2S21ndXl5d1k3Sno5UkxsdHFPNW04RzFRMW9VOTlxUWgwbVQ3UkhvTk9WQVg2LV9tdEJDVllyZjFtT3Nfc0ZUbEwyNkNvUXNlVzNDMkt1T2pHeHU3WWVjZGN6bXVVR3h6NTdWRzFSbnV4MWtVdjJkY2lUaUtCeg,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300-rw,2025-01-20T20:09:36+00:00,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
7,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",,Google News,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",https://news.google.com/rss/articles/CBMitgFBVV95cUxNdHdacE92WFo5Q2Z5LWR0OGZ0M28xei0xaDVVczF4bm9xdmM2UTRhS2VUTFdIZnVUQ21NOGV6SkppSkpTcFdlMUI0VUdPWEw2WjVqVHIyNE1IZUNzc3FsYWo4dGFJaEZoOE1pTUR3Qkp0Z2ZPQS1NRlAyZ2xBaFJBQVRBNFQxcWI1aGF6QUtNSW9FWnNEWGp4UmJDZjRHZThzU2xQcFlRcFV0VC1FMWw2UWRqdTNTZw,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300-rw,2025-01-20T19:56:00+00:00,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
8,"{'id': 'les-echos', 'name': 'Les Echos'}","Virginie Robert, Solveig Godeluck",Donald Trump : « L'âge d'or commence maintenant »,"L'exceptionnalisme américain est de retour. Donald Trump a promis la prospérité grâce au pétrole, veut reprendre le canal de Panama, étendre son territoire et planter la bannière étoilée sur Mars.",https://www.lesechos.fr/monde/etats-unis/donald-trump-lage-dor-commence-maintenant-2143660,https://media.lesechos.com/api/v1/images/view/678e9c49e8307451da03968a/1280x720/014030004047-web-tete.jpg,2025-01-20T18:56:03Z,"Comme dimanche, les fans ont patienté depuis le petit matin, dans le vent glacé, pour entrer dans l'arène Capital One, où était retransmise la cérémonie, et où Donald Trump devait passer après son se… [+3853 chars]"
9,"{'id': 'les-echos', 'name': 'Les Echos'}",Marie Bellan,"Budget 2025 : l'écologie, principale victime du nouveau coup de rabot",Les annulations de crédits atteignent 575 millions d'euros pour l'écologie. Des coupes qui pourraient fragiliser l'atteinte des objectifs climatiques de la France.,https://www.lesechos.fr/economie-france/budget-fiscalite/budget-2025-lecologie-principale-victime-du-nouveau-coup-de-rabot-2143649,https://media.lesechos.com/api/v1/images/view/678e8d981bd3fd351b78ac48/1280x720/014030752975-web-tete.jpg,2025-01-20T17:53:23Z,"A défaut d'un budget conséquent, la ministre de la Transition écologique peut tout au moins faire valoir qu'une moisson de médailles - légions d'honneur et ordre national du mérite - est venue récomp… [+4001 chars]"
